PS C:\Users\vscottki> tcpkg list -i
TcPkg 2.1.134
TwinCAT.XAE.PLC.Lib.Tc2_MC2_Drive 3.3.44
TwinCAT.XAE.PLC.Lib.Tc2_Nc 3.3.11
TwinCAT.XAE.PLC.Lib.Tc2_ProfinetDiag 1.5.2
TwinCAT.XAE.PLC.Lib.Tc2_SPA 3.5.1
TwinCAT.XAE.PLC.Lib.Tc2_Standard 3.4.5
TwinCAT.XAE.PLC.Lib.Tc2_System 3.6.4
TwinCAT.XAE.PLC.Lib.Tc2_SystemCX 3.5.3
TwinCAT.XAE.PLC.Lib.Tc2_Utilities 3.8.2
TwinCAT.XAE.PLC.Lib.Tc3_BA_Common 2.2.4
TwinCAT.XAE.PLC.Lib.Tc3_BA2_Common 2.2.23
TwinCAT.XAE.PLC.Lib.Tc3_BACnetRev14 4.2.41
TwinCAT.XAE.PLC.Lib.Tc3_DriveMotionControl 3.0.13
TwinCAT.XAE.PLC.Lib.Tc3_DynamicMemory 1.1.2
TwinCAT.XAE.PLC.Lib.Tc3_EventLogger 3.3.10
TwinCAT.XAE.PLC.Lib.Tc3_IoLink 3.4.4
TwinCAT.XAE.PLC.Lib.Tc3_IPCDiag 1.2.1
TwinCAT.XAE.PLC.Lib.Tc3_JsonXml 3.4.5
TwinCAT.XAE.PLC.Lib.Tc3_Module 3.4.5
TwinCAT.XAE.PLC.Lib.Tc3_XPlanarUtility 4.2.11
TwinCAT.XAE.PLC.Lib.Tc3_XTS_Utility 4.0.10
TwinCAT.XAE.PLC.Lib.Tc3_XtsInterface 0.2.26
TwinCAT.XAE.PLC.RM.4026.12 5.5.3
TwinCAT.XAE.PLC.TcXaeShell 5.5.3
TwinCAT.XAE.PLC.TcXaeShell64 5.5.3
TwinCAT.XAE.ProjectCompare 2.0.17
TwinCAT.XAE.ProjectCompare.TcXaeShell 2.0.17
TwinCAT.XAE.ProjectCompare.TcXaeShell64 2.0.17
TwinCAT.XAE.PublicSDK 4.9.0
TwinCAT.XAE.SafetyEditor 1.2.13
TwinCAT.XAE.SafetyEditor.TcXaeShell 1.2.13
TwinCAT.XAE.SafetyEditor.TcXaeShell64 1.2.13
TwinCAT.XAE.ScopeView 4.48.87
TwinCAT.XAE.ScopeView.TcXaeShell 4.48.87
TwinCAT.XAE.ScopeView.TcXaeShell64 4.48.87
TwinCAT.XAE.Shell 1.15.0
TwinCAT.XAE.Shell64 4.7.4
TwinCAT.XAE.StandaloneTypesystem_1_16 1.16.25
TwinCAT.XAE.StandaloneTypesystem_2_7 2.7.110
TwinCAT.XAE.StandaloneTypesystem_2_8 2.8.57
TwinCAT.XAE.SupportInformationReport 2.17.2
TwinCAT.XAE.SystemManagerBase 2.4.72
TwinCAT.XAE.SystemManagerBase.RM.4026.12 2.4.72
TwinCAT.XAE.SystemManagerInterops 2.5.0
TwinCAT.XAE.SystemManagerVS 2.4.72
TwinCAT.XAE.SystemManagerVS.RM.4026.12 2.4.72
TwinCAT.XAE.SystemManagerVS.TcXaeShell 2.4.72
TwinCAT.XAE.SystemManagerVS.TcXaeShell64 2.4.72
TwinCAT.XAE.TargetBrowser 2.0.50
TwinCAT.XAE.TargetBrowserDatabaseServer 1.1.18
TwinCAT.XAE.TargetBrowserOpcUa 2.0.108
TwinCAT.XAE.TargetBrowserScope 1.1.35
TwinCAT.XAE.TargetBrowserVS 2.0.50
TwinCAT.XAE.TargetBrowserVS.TcXaeShell 2.0.50
TwinCAT.XAE.TargetBrowserVS.TcXaeShell64 2.0.50
TwinCAT.XAE.TMC 1.5.7
TwinCAT.XAE.TMC.TcXaeShell 1.5.7
TwinCAT.XAE.TMC.TcXaeShell64 1.5.7
TwinCAT.XAE.TMX.BodePlot 1.0.16
TwinCAT.XAE.TMX.Filter 2.8.1
TwinCAT.XAE.TMX.NcObjects 3.1.4704
TwinCAT.XAE.TMX.XPlanar 4.2.25
TwinCAT.XAE.TMX.XTS 0.2.26
TwinCAT.XAE.TMX.XTS 4.0.98
TwinCAT.XAE.XPlanar.Config 4.2.25
TwinCAT.XAE.XtsTechnologyVS 4.0.81
TwinCAT.XAE.XtsTechnologyVS.TcXaeShell 4.0.81
TwinCAT.XAE.XtsTechnologyVS.TcXaeShell64 4.0.81
TwinCAT.XAE.XtsViewer 4.0.81
TwinCAT.XAR.AdsApi 1.2.1
TwinCAT.XAR.AdvancedMotion 0.3.79
TwinCAT.XAR.BACnet 2.1.6
TwinCAT.XAR.Base 2.2.45
TwinCAT.XAR.CNC.Export 4.17.0
TwinCAT.XAR.CxDevice 1.1.6
TwinCAT.XAR.DriversBase 3.13.3
TwinCAT.XAR.ESB 1.4.3
TwinCAT.XAR.EtherCATSlave 2.1.3
TwinCAT.XAR.EtherNetIP 3.0.11
TwinCAT.XAR.NCPTP 3.1.5019
TwinCAT.XAR.NdisDriver 2.1.8
TwinCAT.XAR.PLC 2.0.45
TwinCAT.XAR.PlcHmi 1.0.11
TwinCAT.XAR.PnP 1.3.3
TwinCAT.XAR.Profinet 2.2.18
TwinCAT.XAR.Realtime 2.0.70
TwinCAT.XAR.ReportingServer 1.2.44
TwinCAT.XAR.ScopeServer 4.48.63
TwinCAT.XAR.SystemServiceLib 1.1.0
TwinCAT.XAR.USB 4.2.0
TwinCAT.XAR.UserModeRuntime 1.12.1
TypeScript.Beckhoff 5.3.2
vcredist100.Beckhoff 10.0.40219.325
vcredist140.Beckhoff 14.38.33130
213 package(s) found.
